[INFO: Main      ] Starting Contiki-NG-release/v4.0-4239-ga022e5882-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 17741
[INFO: Main      ] Link-layer address: 0012.4b00.26ad.454d
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:26ad:454d
[INFO: CC13xx/CC26xx] Operating frequency on 2.4 GHz
[INFO: CC13xx/CC26xx] RF: Channel 26, PANID 0xABCD
[INFO: CC13xx/CC26xx] Node ID: 17741
Private Key:
541619152033079094C5A5CEAD2F1B43A6ACF515249155D0195DB70D1716007E
Public Key:
6BF052483388CCEB7BED4BDD9CBE589D761EFF3CFC696566D0AD131AB86B85B25777E7874C6E204009005F5E0D39DDD2F618D428C5A4684FBD55DE3A831BFD41
[INFO: Main      ] Starting Contiki-NG-release/v4.0-4239-ga022e5882-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 17741
[INFO: Main      ] Link-layer address: 0012.4b00.26ad.454d
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:26ad:454d
[INFO: CC13xx/CC26xx] Operating frequency on 2.4 GHz
[INFO: CC13xx/CC26xx] RF: Channel 26, PANID 0xABCD
[INFO: CC13xx/CC26xx] Node ID: 17741
Private Key:
541619152033079094C5A5CEAD2F1B43A6ACF515249155D0195DB70D1716007E
Public Key:
6BF052483388CCEB7BED4BDD9CBE589D761EFF3CFC696566D0AD131AB86B85B25777E7874C6E204009005F5E0D39DDD2F618D428C5A4684FBD55DE3A831BFD41
s,0,1024, 24184648, 0
e,0,1024, 15054, 0
s,1,1024, 24235528, 0
e,1,1024, 15056, 0
s,2,1024, 24229432, 0
e,2,1024, 15060, 0
s,3,1024, 24126400, 0
e,3,1024, 15056, 0
s,4,1024, 24151908, 0
e,4,1024, 15054, 0
s,5,1024, 24192826, 0
e,5,1024, 15058, 0
s,6,1024, 24159864, 0
e,6,1024, 15064, 0
s,7,1024, 24075748, 0
e,7,1024, 15062, 0
s,8,1024, 24161908, 0
e,8,1024, 15060, 0
s,9,1024, 24115574, 0
e,9,1024, 15038, 0
s,0,2025, 45790944, 0
e,0,2025, 15054, 0
s,1,2025, 45770450, 0
e,1,2025, 15058, 0
s,2,2025, 45757010, 0
e,2,2025, 15062, 0
s,3,2025, 45700138, 0
e,3,2025, 15058, 0
s,4,2025, 45769280, 0
e,4,2025, 15054, 0
s,5,2025, 45739916, 0
e,5,2025, 15060, 0
s,6,2025, 45784402, 0
e,6,2025, 15064, 0
s,7,2025, 45883550, 0
e,7,2025, 15060, 0
s,8,2025, 45772952, 0
e,8,2025, 15058, 0
s,9,2025, 45768748, 0
e,9,2025, 15038, 0
s,0,3025, 67385640, 0
e,0,3025, 15056, 0
s,1,3025, 67445202, 0
e,1,3025, 15058, 0
s,2,3025, 67384190, 0
e,2,3025, 15060, 0
s,3,3025, 68138156, 3
e,3,3025, 15060, 0
s,4,3025, 67440284, 0
e,4,3025, 15054, 0
s,5,3025, 67352668, 0
e,5,3025, 15060, 0
s,6,3025, 67244608, 0
e,6,3025, 15062, 0
s,7,3025, 67885596, 2
e,7,3025, 15060, 0
s,8,3025, 67426992, 0
e,8,3025, 15058, 0
s,9,3025, 67613152, 1
e,9,3025, 15038, 0
s,0,4096, 90299658, 0
e,0,4096, 15056, 0
s,1,4096, 90335780, 0
e,1,4096, 15060, 0
s,2,4096, 90453998, 0
e,2,4096, 15060, 0
s,3,4096, 90395322, 0
e,3,4096, 15060, 0
s,4,4096, 90605116, 0
e,4,4096, 15052, 0
s,5,4096, 90775952, 1
e,5,4096, 15058, 0
s,6,4096, 90360212, 0
e,6,4096, 15064, 0
s,7,4096, 90491572, 0
e,7,4096, 15060, 0
s,8,4096, 90463178, 0
e,8,4096, 15060, 0
s,9,4096, 90410112, 0
e,9,4096, 15036, 0
s,0,5041, 110875150, 0
e,0,5041, 15054, 0
s,1,5041, 110924394, 0
e,1,5041, 15058, 0
s,2,5041, 111015722, 0
